AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
9.9457,1027.5,65.562,4.883,30.836,1096.7,532.14,156.32,13.572,0.96679,66.563
14.075,1015.5,82.805,4.9357,32.115,1100.1,531.34,158.04,13.876,0.76388,64.794
17.105,1018.1,59.725,4.8594,31.476,1100.1,533.43,155.21,13.777,1.2207,70.587
5.0959,1017.4,91.485,3.9155,23.921,1086.1,549.81,134.51,11.916,1.0824,82.095
5.7865,1015.2,82.874,4.1964,23.731,1085.6,550.25,134.11,11.995,2.299,84.733
12.451,1025.6,66.261,4.7516,32.702,1100.0,528.41,160.7,14.137,0.62048,65.75
19.92,1018.1,60.679,5.4004,30.928,1100.2,535.82,151.64,13.531,1.1574,76.352
15.536,1014.2,78.644,3.5565,24.48,1087.1,549.59,134.43,11.957,0.73494,69.988
20.508,1014.3,69.144,4.4576,31.444,1100.2,533.93,155.12,13.692,0.78794,58.548
13.337,1017.4,87.473,5.4755,30.714,1099.9,535.35,154.92,13.471,0.78203,69.227
4.4527,1016.5,93.482,4.03,23.435,1083.8,550.06,133.67,11.786,4.7475,95.115
19.128,1001.5,98.767,4.6118,30.787,1099.8,537.62,152.27,13.405,0.34983,62.754
13.679,1016.8,83.489,5.7358,32.312,1100.3,530.71,158.84,13.944,0.71119,64.357
7.3019,1008.2,96.438,3.7666,23.476,1082.9,550.02,133.68,11.745,1.2314,77.161
19.872,1013.4,94.828,3.0986,19.787,1058.6,550.13,111.75,10.696,2.2877,57.391
5.519,1014.6,90.4,3.8391,23.131,1081.2,550.23,131.32,11.722,2.0044,82.156
29.053,1011.1,51.387,4.4459,30.168,1100.3,539.43,148.77,13.305,1.0712,59.774
7.248,1018.5,80.268,3.938,23.691,1085.5,550.06,134.57,11.897,0.64908,81.48
22.321,1015.4,78.975,3.1712,20.22,1060.6,549.98,111.77,10.516,2.1697,55.091
28.642,1009.9,59.396,3.7387,24.815,1086.3,549.61,129.63,11.796,1.1501,65.041
14.2,1018.5,82.124,4.6752,26.648,1090.3,544.81,141.09,12.511,1.3868,73.586
22.098,1016.5,77.409,3.2886,20.315,1061.3,550.35,112.6,10.561,3.3249,59.015
14.251,1014.0,96.304,4.6241,24.264,1086.4,550.31,133.75,11.893,0.98356,68.859
11.808,1022.3,64.251,5.0921,32.541,1100.0,528.39,160.94,14.052,0.80518,68.042
26.238,1014.9,55.584,4.43,30.784,1099.6,536.93,151.84,13.54,1.4747,70.005
23.177,1017.4,73.491,3.2509,20.246,1061.2,549.96,112.04,10.831,2.6763,57.271
22.671,1011.3,80.61,3.1497,20.118,1059.4,549.96,111.36,10.653,2.17,54.133
20.957,1018.5,63.018,4.7833,30.874,1099.8,533.47,154.43,13.594,1.1329,61.166
6.6405,1022.1,82.613,3.5183,23.456,1084.1,549.92,134.35,11.884,0.8023,84.263
16.87,1016.1,77.2,4.6049,24.954,1088.1,549.09,134.22,12.143,1.2619,70.657
28.055,1011.9,64.163,4.0802,25.998,1093.8,549.93,133.75,12.245,0.3541,59.732
4.908,1018.0,79.738,5.415,33.291,1100.2,525.19,166.32,14.293,2.0614,60.38
31.985,1011.8,36.401,4.4326,29.589,1099.7,541.29,141.57,13.096,0.56017,66.223
22.515,1009.6,95.305,3.2186,20.208,1060.6,550.15,112.8,10.682,1.7044,51.78
23.383,1013.9,73.022,4.3704,30.502,1099.9,537.5,151.83,13.54,0.69477,55.96
12.371,1015.6,89.375,4.39,23.893,1084.6,549.83,132.97,11.833,1.5182,75.064
9.8291,1025.7,93.829,3.7811,24.295,1088.5,549.42,136.89,12.111,1.0208,74.943
18.273,1011.9,89.958,3.1855,19.897,1059.7,550.05,112.77,10.658,2.606,61.142
22.114,1006.7,54.333,3.8699,25.68,1091.6,550.36,134.74,12.211,1.1137,75.232
24.419,1003.3,89.861,3.1725,20.395,1060.7,550.0,112.1,10.658,1.9005,49.088
23.335,1012.7,74.091,4.4127,30.997,1100.1,535.9,152.99,13.586,0.79852,57.906
7.608,1018.5,74.348,3.8837,23.283,1082.9,550.01,132.66,11.707,1.0121,82.898
7.0783,1021.1,88.029,3.9468,23.561,1084.1,550.09,134.47,11.781,1.0303,77.166
28.199,1005.3,61.624,4.8479,32.919,1100.0,530.75,153.35,13.753,1.1015,60.841
28.78,1011.6,67.253,4.093,27.768,1099.4,548.11,140.61,12.557,0.8202,61.245
9.6916,1013.6,95.4,4.3055,28.166,1091.1,539.34,147.15,12.809,0.2768,68.326
5.2576,1027.6,78.608,4.0844,23.311,1085.0,549.68,133.68,11.75,2.6685,88.962
18.877,1005.4,85.419,3.1635,19.905,1058.2,549.96,111.78,10.65,3.6954,61.969
28.436,1012.0,41.694,3.807,25.932,1093.0,549.95,133.8,12.236,0.72827,68.952
20.578,1005.8,99.936,3.4809,20.962,1065.1,549.98,115.87,10.944,3.3539,65.426
21.04,1012.5,83.452,3.7197,24.435,1086.6,550.0,132.76,11.878,0.72152,61.139
9.9483,1027.5,99.092,4.1881,24.093,1087.0,549.96,134.4,11.903,1.5559,78.108
10.845,1014.0,100.15,6.9831,33.089,1100.1,528.38,161.28,14.067,0.55825,63.144
21.019,1015.5,92.285,3.0641,19.809,1059.0,549.88,111.67,10.498,2.2538,55.933
17.282,1011.3,93.412,3.0066,19.35,1056.1,549.98,110.76,10.449,2.7171,63.395
27.37,1008.7,67.203,4.0909,26.04,1093.7,549.93,133.79,12.281,0.21556,62.245
18.63,1002.3,73.474,4.7465,24.815,1087.1,549.08,133.59,12.007,3.4289,75.139
24.991,1013.3,64.646,3.761,25.682,1092.7,550.06,134.88,12.276,1.1711,76.663
23.003,1004.6,76.485,2.9896,19.811,1057.8,549.92,110.82,10.539,1.8681,55.56
6.8903,1014.7,88.165,3.6331,23.732,1085.8,550.06,133.69,11.761,0.7649,82.335
14.548,1023.4,67.502,5.1532,31.961,1100.3,531.1,157.73,13.853,0.90559,64.504
26.736,1012.5,62.875,4.4144,30.191,1099.8,538.97,149.4,13.192,0.89601,56.93
26.31,1005.3,76.947,3.2318,20.566,1061.7,550.14,112.26,10.799,1.5537,49.138
6.3753,1025.5,80.117,5.4384,33.441,1100.1,523.88,166.76,14.347,1.4081,64.625
9.8288,1022.5,81.785,4.3478,23.826,1084.9,550.12,133.7,11.841,1.468,77.128
17.821,1014.4,66.628,2.9534,19.486,1057.5,549.96,111.71,10.518,3.1835,70.068
17.991,1011.5,92.619,3.0418,19.317,1056.1,549.97,110.76,10.48,2.624,60.41
25.372,1005.2,40.65,3.7773,25.613,1091.5,549.74,133.77,12.243,0.75836,74.024
25.887,1015.3,62.179,4.8431,30.206,1100.3,537.02,151.24,13.518,1.3873,61.291
11.425,1009.3,91.551,3.6311,24.851,1088.6,549.02,138.01,12.061,1.316,68.688
14.236,1016.9,95.489,4.3904,24.638,1087.7,549.9,134.71,12.048,1.5186,73.44
6.9384,1020.7,89.104,4.3337,23.6,1083.7,549.86,133.67,11.764,1.6047,80.743
6.8139,1013.8,81.137,3.9895,23.42,1083.8,549.95,134.35,11.853,2.6909,85.352
15.298,1016.9,79.682,3.9833,24.2,1087.0,550.12,133.69,11.905,1.3597,71.872
25.581,1011.1,61.475,4.8096,31.007,1100.0,536.48,150.35,13.465,0.69575,58.695
22.278,1004.6,78.221,2.9736,19.726,1057.2,550.01,110.81,10.519,2.1,55.865
9.3335,1027.9,79.23,5.623,32.832,1100.3,526.52,163.25,14.254,1.1556,60.533
11.414,1018.4,84.186,3.9421,24.027,1086.1,549.92,134.44,11.973,1.3156,73.518
11.585,1013.4,97.504,3.6596,19.083,1055.4,550.07,111.72,10.472,3.8333,76.803
29.283,1007.9,58.563,3.9366,25.788,1092.6,549.63,133.7,12.057,0.34469,64.308
22.91,1015.2,65.253,3.1719,19.904,1059.5,549.87,110.79,10.489,3.1173,61.292
9.9893,1023.6,83.526,5.6129,32.575,1100.4,527.55,162.24,14.164,1.2021,62.505
8.1367,1009.0,80.327,5.3075,32.741,1100.3,528.54,163.61,14.127,1.3737,71.476
22.097,1013.2,91.27,3.7798,25.322,1091.0,549.96,134.43,12.102,0.37375,58.481
31.471,1008.7,45.231,3.474,21.153,1065.1,550.18,112.76,10.906,1.3366,53.142
27.574,1011.5,60.783,3.9906,25.912,1093.0,549.82,133.77,12.147,0.60303,63.379
13.331,1015.4,58.27,5.1103,31.462,1100.2,532.63,156.76,13.815,1.2663,70.606
7.6145,1026.3,93.847,3.8715,22.162,1076.4,549.92,127.6,11.363,2.0459,82.524
14.648,1016.2,60.264,4.5088,32.07,1099.7,530.6,158.42,13.873,1.9167,67.195
24.053,1007.0,76.057,3.1207,20.299,1059.9,550.06,111.51,10.608,1.9034,54.9
12.503,1016.8,93.342,4.3477,24.105,1085.0,549.82,132.58,11.859,1.2541,72.699
14.021,1013.4,89.486,3.5809,24.237,1086.4,549.91,134.15,11.945,1.2381,68.688
11.728,1009.4,79.251,3.6098,24.152,1084.7,549.91,133.67,11.828,0.52938,74.94
21.368,1013.2,87.446,3.7293,24.98,1089.7,550.32,133.73,12.039,0.51762,59.523
4.2781,1018.0,81.102,5.3649,32.958,1100.0,526.21,165.98,14.209,2.1564,60.38
28.536,1011.9,63.266,3.8936,25.924,1092.9,549.9,133.81,12.241,0.68418,61.407
13.779,1012.7,87.42,3.9556,24.77,1088.5,550.14,135.77,12.015,0.76032,71.875
8.2388,1016.3,87.051,2.9795,18.561,1054.8,549.81,109.76,10.466,4.679,107.12
15.953,1014.2,81.873,4.6476,24.716,1088.2,550.15,133.36,11.995,1.6055,73.776
5.5376,1014.2,89.786,3.9894,23.603,1084.1,550.09,133.82,11.8,1.003,81.762
23.003,1002.3,77.624,3.0644,20.002,1057.8,550.11,110.66,10.528,1.859,55.825
16.027,1012.3,87.547,4.5524,31.983,1099.9,532.44,157.2,13.651,0.94073,62.379
2.4609,1020.8,83.85,3.8987,23.367,1084.4,550.11,133.2,11.858,0.59352,86.747
10.713,1014.8,100.14,3.6962,19.097,1051.1,546.7,110.74,10.465,4.7521,76.568
25.692,1012.3,86.076,4.0518,27.246,1099.0,549.32,139.86,12.64,0.60942,60.671
8.4755,1029.5,85.024,4.1292,23.551,1085.7,550.06,134.52,11.939,2.4277,84.607
25.234,1005.5,88.806,4.4177,29.957,1100.2,541.17,147.44,13.248,0.23274,53.559
22.836,1011.1,84.367,3.7333,25.226,1089.3,550.23,133.78,12.109,0.57093,60.253
20.441,1010.4,85.033,3.0805,20.129,1059.7,550.05,112.76,10.567,2.0964,58.172
6.7939,1021.4,80.387,3.7634,22.305,1055.7,535.96,122.06,11.432,33.346,87.906
20.367,1010.8,85.658,3.1422,19.675,1057.7,549.75,110.77,10.648,2.5372,58.301
30.319,1008.4,79.582,4.382,28.912,1100.1,544.61,143.29,12.955,0.78074,53.438
10.191,1012.7,73.483,5.3638,32.506,1100.2,529.5,161.23,14.022,0.50772,69.413
4.5385,1020.2,93.685,4.0707,23.786,1085.8,550.14,133.57,11.779,0.55099,80.548
14.888,1017.2,90.918,4.2366,24.478,1086.7,549.94,133.23,11.929,1.3871,72.38
30.07,1006.6,43.901,3.9454,25.83,1092.0,549.94,133.76,12.176,0.69733,68.253
7.1763,1019.3,93.796,4.2544,29.826,1100.0,534.36,159.19,13.586,0.99915,65.541
16.164,1009.6,72.235,5.7098,31.195,1100.0,535.17,154.88,13.498,1.0021,65.948
25.94,1015.8,68.213,3.2263,20.249,1061.0,550.25,111.34,10.603,2.4767,51.572
16.312,1017.1,79.74,4.0684,24.375,1087.5,549.91,133.66,11.962,1.3367,71.884
23.75,1010.9,84.928,3.1674,20.229,1060.4,549.88,111.75,10.812,1.975,52.128
5.7488,1018.4,77.769,4.0391,23.387,1083.1,550.02,133.67,11.75,1.9569,60.38
18.623,1004.7,75.659,2.9279,18.839,1051.5,549.71,107.53,10.384,3.6067,68.859
13.32,1020.2,88.305,5.0537,28.831,1099.7,542.0,150.53,13.062,1.1468,71.083
15.624,1014.5,77.011,5.594,31.712,1100.4,532.31,157.49,13.874,0.6001,64.153
15.239,1021.5,76.173,3.5228,24.168,1087.2,550.05,133.81,11.954,1.2011,73.212
23.911,1012.1,67.855,4.4868,31.069,1100.0,536.5,151.15,13.486,0.33089,55.291
14.682,1020.3,87.306,4.8441,31.134,1100.2,531.22,157.11,13.883,1.2967,60.727
19.451,1011.3,66.647,3.3942,19.038,1053.9,549.77,109.22,10.284,3.5536,72.191
8.5987,1011.8,89.449,5.0171,32.869,1100.2,527.83,163.5,14.075,1.601,69.573
15.43,1019.1,50.474,4.4824,31.374,1100.1,530.22,158.58,13.839,1.2353,64.57
14.14,1010.6,90.254,3.5606,24.262,1086.5,550.05,134.15,11.922,1.2776,69.076
23.202,1009.1,90.288,3.8202,25.482,1091.7,549.99,134.77,12.155,0.35083,59.212
28.437,1010.7,53.402,4.193,26.085,1094.6,549.91,133.75,12.15,0.62817,63.78
9.2719,1013.2,91.475,3.8031,24.625,1088.5,549.87,133.67,11.92,0.83687,79.252
11.835,1015.6,94.864,4.4377,24.167,1086.5,549.8,134.21,11.899,1.4692,72.388
20.024,1015.2,88.818,3.6686,24.855,1089.2,549.8,133.48,11.936,0.74819,61.046
12.965,1005.5,94.275,4.1746,24.233,1085.5,550.16,133.76,11.793,1.5824,73.276
24.796,1016.6,63.128,4.3642,30.406,1099.8,537.94,151.27,13.379,1.1051,59.695
23.878,1005.9,87.351,3.153,20.124,1059.7,550.1,111.84,10.753,1.6693,52.13
14.603,1021.9,72.09,5.0659,31.959,1099.7,531.24,157.6,13.82,0.88622,66.694
22.978,1018.6,55.212,4.7688,30.197,1100.4,535.69,152.78,13.645,1.1239,61.865
2.3981,1016.5,83.047,3.8981,23.642,1085.5,549.74,133.67,11.742,0.86218,88.004
27.063,1008.7,54.212,4.6809,30.155,1100.4,539.47,149.54,13.379,0.5096,60.377
21.779,1013.7,83.769,3.2666,20.787,1064.3,549.96,115.17,10.81,1.7558,55.585
8.703,1008.1,86.367,4.0348,23.866,1084.7,549.94,134.67,11.769,0.10883,77.431
6.9194,1016.3,86.201,3.9873,23.733,1084.2,549.99,133.25,11.788,0.65984,80.962
22.879,1008.7,72.877,3.3311,20.774,1062.4,550.12,112.5,10.709,2.1214,59.902
10.703,1011.5,81.018,4.1574,23.835,1084.6,550.31,133.67,11.688,1.0166,74.545
20.936,1012.7,86.999,3.7753,25.463,1090.9,549.94,134.75,11.967,1.002,66.184
6.1033,1021.9,81.523,3.4937,23.222,1083.0,549.98,133.67,11.836,1.0618,84.708
9.9103,1016.3,100.15,3.5459,19.114,1051.0,546.8,110.99,10.423,4.894,83.295
27.528,1012.2,73.639,3.8984,26.457,1095.9,550.06,136.37,12.351,0.67911,60.9
8.7192,1022.5,90.64,3.8745,22.927,1079.6,549.84,130.75,11.632,1.4581,77.96
15.948,1017.7,69.325,4.458,31.459,1100.5,533.33,156.34,13.821,1.2752,69.527
15.979,1019.8,64.065,4.8763,31.528,1100.0,532.13,156.38,13.763,0.99337,68.921
25.044,1007.3,84.88,3.222,20.454,1060.6,549.96,111.83,10.609,1.9469,50.378
18.73,1006.6,88.379,3.1842,19.997,1059.6,550.16,112.78,10.493,4.1196,64.064
12.809,1016.5,92.7,4.3599,24.154,1085.0,550.27,132.65,11.795,1.2475,72.184
23.728,1017.1,67.68,4.4468,30.988,1099.9,535.55,152.08,13.536,1.0465,69.493
14.851,1017.8,76.259,4.1357,24.254,1087.0,550.22,133.57,11.794,0.94724,71.141
8.801,1008.9,88.898,3.8719,23.6,1082.0,550.03,132.33,11.726,2.0441,81.041
22.725,1010.9,65.252,4.7021,31.068,1100.1,535.94,152.54,13.552,1.1405,56.619
28.229,1004.4,68.384,3.2501,20.767,1062.3,549.59,112.42,10.779,1.5849,51.458
19.193,1007.3,87.454,3.6335,24.874,1088.4,550.17,133.72,12.086,0.88324,64.037
17.852,1011.9,89.031,3.0721,19.631,1057.4,550.1,111.75,10.532,2.726,62.622
15.881,1014.9,90.521,4.3148,23.752,1082.3,549.96,130.08,11.588,1.5377,69.175
29.427,1014.0,57.654,4.1536,26.23,1094.8,550.07,133.81,12.307,0.069705,60.488
7.1942,1013.7,80.331,3.9869,23.324,1082.9,549.98,133.7,11.865,2.7349,85.03
24.588,1012.1,71.263,3.9559,25.558,1091.7,550.15,133.79,12.138,0.34725,62.22
16.872,1004.7,90.246,4.279,24.52,1086.3,550.16,133.77,11.901,1.4913,72.648
13.55,1025.4,76.948,4.8851,31.715,1100.0,528.78,160.05,14.035,0.56986,64.171
22.331,1011.0,90.503,3.1063,20.021,1059.3,549.93,111.53,10.654,1.8193,54.05
12.52,1007.3,96.089,5.4047,32.728,1100.1,530.06,159.82,13.939,1.0082,65.472
20.538,1011.1,89.287,3.7603,25.285,1090.5,549.98,134.73,12.059,0.37177,61.488
10.571,1024.4,70.294,5.6829,32.574,1100.0,528.08,160.64,14.078,0.65249,63.856
22.182,1017.1,56.762,4.8618,31.11,1100.0,533.05,154.75,13.706,1.3146,62.188
5.4791,1021.3,89.014,3.9453,23.402,1082.2,549.64,133.51,11.77,2.0319,84.64
17.806,1012.0,67.274,4.5124,32.144,1099.9,531.15,159.24,13.911,0.78223,57.87
15.786,1006.7,93.39,2.9777,19.215,1055.0,549.91,110.77,10.423,3.6871,68.255
25.072,1011.7,78.184,4.4062,28.261,1095.4,542.87,140.41,12.845,1.0824,57.946
13.665,1016.4,95.101,3.645,23.919,1085.0,550.01,132.77,11.767,1.4135,69.316
15.566,1006.8,84.273,3.5262,19.475,1057.0,549.94,112.42,10.524,3.4832,75.933
27.137,1007.6,53.279,3.2628,20.491,1061.4,550.12,111.83,10.727,1.6633,56.907
28.287,1013.7,56.763,4.1226,25.962,1093.9,550.0,133.79,12.249,0.091262,60.685
21.196,1012.3,95.641,3.1701,19.944,1059.6,550.09,111.75,10.77,1.837,53.967
10.415,1020.3,99.301,5.2355,24.348,1086.9,549.88,135.02,11.978,1.5764,77.186
12.786,1020.6,77.046,3.6758,23.884,1085.0,549.86,132.71,11.871,1.53,77.565
18.934,1014.5,82.974,4.5034,31.518,1100.3,533.56,155.11,13.754,0.92423,59.551
25.925,1011.5,62.515,3.0203,20.059,1059.6,550.1,110.8,10.603,2.3029,56.429
23.348,1015.0,73.899,4.5032,31.338,1099.9,534.29,153.47,13.639,0.99578,56.885
3.9118,1016.9,86.027,5.4036,33.463,1099.7,524.22,168.48,14.319,2.3538,69.778
12.954,1007.7,95.317,4.675,32.42,1099.8,527.91,161.61,13.914,0.86262,61.433
18.153,1016.4,93.234,3.6585,24.662,1087.8,550.15,133.2,11.862,1.2142,61.438
11.011,1019.4,97.612,4.5741,24.306,1086.5,549.94,134.69,11.946,1.5471,75.98
21.585,1012.9,81.023,3.9134,25.322,1090.4,550.04,133.79,12.075,0.95186,59.88
21.797,1008.3,77.0,2.9595,19.736,1056.9,550.17,110.4,10.445,2.0295,57.972
7.0469,1017.0,83.11,4.1811,24.279,1087.2,549.94,133.76,11.961,1.3811,83.471
13.304,1017.7,89.1,4.5872,24.374,1086.7,549.76,134.45,11.815,1.259,72.422
15.91,1016.2,63.628,5.1106,31.607,1100.3,533.19,155.49,13.794,0.3903,65.859
21.06,1007.2,99.883,3.02,18.159,1047.6,549.97,103.21,10.029,4.1095,57.601
11.195,1017.5,95.926,4.3969,24.158,1085.4,549.9,133.68,11.861,1.3508,76.898
4.6801,1016.0,78.345,3.7878,23.545,1083.9,550.15,134.68,11.86,0.76536,81.78
11.48,1016.6,88.326,3.5034,23.591,1083.4,549.96,132.59,11.79,1.3758,71.705
23.174,1014.3,70.787,3.164,19.942,1058.6,550.04,110.75,10.669,3.0367,56.436
10.759,1014.4,74.628,4.0132,23.809,1084.7,550.02,133.66,11.872,0.41893,74.072
12.344,1015.8,92.264,4.9116,32.151,1099.9,530.96,159.17,13.908,0.31055,62.768
13.37,1005.0,78.771,4.1731,24.201,1085.4,550.15,133.82,11.869,0.33053,72.519
24.806,1012.7,72.802,4.0883,28.009,1095.9,544.02,142.79,12.767,0.97146,60.598
30.247,1005.6,45.708,3.9148,25.999,1092.3,550.04,132.77,12.189,0.23396,66.419
10.106,1031.9,70.193,5.1822,32.789,1100.4,527.45,162.26,14.113,1.043,64.496
7.8365,1014.0,76.527,4.0116,23.771,1084.3,549.94,134.0,11.795,1.0121,80.442
24.06,1019.4,63.586,5.0559,32.2,1099.6,530.47,151.77,13.763,1.2389,59.313
12.237,1025.4,81.67,4.8463,31.522,1099.9,528.79,160.65,14.068,0.7354,63.572
9.8712,1017.2,84.249,4.6983,32.341,1100.2,530.58,159.99,13.929,1.0428,70.558
8.6401,1012.6,78.721,4.5035,26.698,1089.4,542.9,143.81,12.509,2.2081,80.324
12.272,1025.5,83.468,4.9133,31.791,1100.0,528.16,161.14,14.055,0.84676,62.97
21.464,1010.9,76.41,4.3629,30.62,1100.3,536.65,153.01,13.566,1.0744,60.46
20.591,1006.5,94.348,3.1663,19.941,1058.9,550.05,111.77,10.761,2.1353,55.254
13.722,1010.4,94.178,4.1602,24.354,1086.2,550.17,133.71,11.91,1.3633,71.914
9.0771,1026.9,80.253,4.2323,23.929,1087.2,550.3,134.31,12.002,1.0497,81.578
12.845,1019.7,72.761,4.1522,24.081,1086.7,550.19,133.65,11.844,2.4943,78.81
6.9576,1013.1,89.087,3.8985,23.463,1083.1,550.0,133.74,11.774,1.5033,79.798
12.065,1023.5,83.633,4.1615,24.411,1088.2,549.73,134.7,11.95,1.3318,75.421
15.22,1026.9,68.493,3.9182,23.903,1085.6,549.92,131.83,11.768,1.4083,74.917
14.105,1023.7,88.908,3.6503,21.754,1072.6,550.19,122.62,11.219,2.3453,73.335
5.8343,1024.0,87.147,3.461,19.196,1054.3,547.64,111.99,10.55,7.1494,119.32
4.8703,1021.4,80.508,3.7381,23.123,1083.5,549.96,134.45,11.679,1.3425,85.455
18.443,1000.1,96.693,3.7803,24.918,1087.0,550.06,133.72,11.967,0.45974,63.17
13.048,1021.4,66.677,3.6732,22.1,1073.9,549.93,124.68,11.245,2.0531,79.398
29.378,1011.1,52.592,4.5939,29.091,1099.4,542.98,144.77,12.95,1.2333,60.979
33.37,1005.8,47.938,4.4594,29.764,1099.6,542.51,146.33,13.191,0.39406,54.701
19.459,1011.3,60.452,4.4868,31.546,1099.6,533.57,156.61,13.687,1.4911,64.627
10.717,1005.8,97.504,3.461,19.093,1054.9,549.97,111.74,10.516,4.1959,74.359
17.682,1011.8,94.982,3.2749,20.921,1065.2,550.21,117.32,10.863,2.3431,61.428
15.558,1017.3,83.445,4.8558,31.226,1099.8,531.7,156.91,13.826,0.83546,62.766
20.98,1013.1,67.37,4.4552,31.313,1100.0,534.96,155.59,13.592,0.76004,59.268
27.857,1014.3,55.213,4.6251,29.802,1100.3,540.42,148.37,13.269,0.21941,55.88
17.95,1014.5,60.188,2.9323,19.504,1057.8,550.09,111.69,10.506,2.9394,70.693
13.27,1016.3,86.289,2.8321,18.801,1054.3,549.53,110.73,10.438,3.9299,74.264
9.1545,1028.1,88.837,3.2418,19.363,1037.3,534.97,110.69,10.535,10.743,98.49
5.4407,1015.9,92.715,3.9586,23.92,1085.2,550.02,133.68,11.858,1.1796,82.349
11.73,1022.4,83.679,4.2869,24.152,1086.3,549.97,134.45,12.002,0.85962,75.22
19.775,1010.7,86.598,3.1187,20.432,1061.8,550.09,114.51,10.753,1.8885,59.621
